track_name,album_name,release_date,popularity,release_year
He Rode All the Way to Texas - 2015 Remaster,Trio II ,1999-01-26,22,1999
Feels Like Home - 2015 Remaster,Trio II ,1999-01-26,21,1999
"When We're Gone, Long Gone - 2015 Remaster",Trio II ,1999-01-26,24,1999
Travelin’ Prayer,The Grass Is Blue,1900-01-01,26,1900
Cash On The Barrelhead,The Grass Is Blue,1900-01-01,23,1900
A Few Old Memories,The Grass Is Blue,1900-01-01,22,1900
I'm Gonna Sleep With One Eye Open,The Grass Is Blue,1900-01-01,22,1900
Steady As The Rain,The Grass Is Blue,1900-01-01,22,1900
I Still Miss Someone,The Grass Is Blue,1900-01-01,24,1900
Endless Stream Of Tears,The Grass Is Blue,1900-01-01,18,1900
Silver Dagger,The Grass Is Blue,1900-01-01,27,1900
"Train, Train",The Grass Is Blue,1900-01-01,24,1900
I Wonder Where You Are Tonight,The Grass Is Blue,1900-01-01,19,1900
Will He Be Waiting For Me,The Grass Is Blue,1900-01-01,19,1900
The Grass Is Blue,The Grass Is Blue,1900-01-01,33,1900
I Am Ready,The Grass Is Blue,1900-01-01,21,1900
Hungry Again,Hungry Again,1998-09-29,10,1998
The Salt In My Tears,Hungry Again,1998-09-29,22,1998
Honky Tonk Songs,Hungry Again,1998-09-29,11,1998
Blue Valley Songbird,Hungry Again,1998-09-29,12,1998
I Wanna Go Back There,Hungry Again,1998-09-29,8,1998
When Jesus Comes Calling For Me,Hungry Again,1998-09-29,19,1998
Time And Tears,Hungry Again,1998-09-29,7,1998
I'll Never Say Goodbye,Hungry Again,1998-09-29,11,1998
The Camel's Heart,Hungry Again,1998-09-29,7,1998
I Still Lost You,Hungry Again,1998-09-29,9,1998
Paradise Road,Hungry Again,1998-09-29,11,1998
Shine On,Hungry Again,1998-09-29,15,1998
Peace Train/Isitimela Sokuthula,Treasures,1996-09-24,26,1996
Today I Started Loving You Again,Treasures,1996-09-24,15,1996
Just When I Needed You Most,Treasures,1996-09-24,43,1996
Something's Burning,Treasures,1996-09-24,10,1996
Before The Next Teardrop Falls,Treasures,1996-09-24,31,1996
After The Goldrush,Treasures,1996-09-24,21,1996
Walking On Sunshine,Treasures,1996-09-24,21,1996
Behind Closed Doors,Treasures,1996-09-24,15,1996
Don't Let Me Cross Over,Treasures,1996-09-24,20,1996
Satin Sheets,Treasures,1996-09-24,18,1996
For The Good Times,Treasures,1996-09-24,12,1996
Crippled Bird,Something Special,1995-08-22,9,1995
Something Special,Something Special,1995-08-22,15,1995
Change,Something Special,1995-08-22,8,1995
I Will Always Love You (with Vince Gill),Something Special,1995-08-22,37,1995
Green-Eyed Boy,Something Special,1995-08-22,12,1995
Speakin' Of The Devil,Something Special,1995-08-22,8,1995
Jolene,Something Special,1995-08-22,19,1995
No Good Way Of Saying Good-bye,Something Special,1995-08-22,10,1995
The Seeker,Something Special,1995-08-22,11,1995
Teach Me To Trust,Something Special,1995-08-22,8,1995
Heartsong - Live,Heartsongs ,1994-09-01,13,1994
I'm Thinking Tonight Of My Blue Eyes - Live,Heartsongs ,1994-09-01,13,1994
Mary Of The Wild Moor - Live,Heartsongs ,1994-09-01,8,1994
In The Pines - Live,Heartsongs ,1994-09-01,24,1994
My Blue Tears - Live,Heartsongs ,1994-09-01,8,1994
Applejack - Live,Heartsongs ,1994-09-01,13,1994
Coat Of Many Colors - Live,Heartsongs ,1994-09-01,13,1994
Smoky Mountain Memories - Live,Heartsongs ,1994-09-01,19,1994
Night Train To Memphis - Live,Heartsongs ,1994-09-01,11,1994
What A Friend We Have In Jesus - Live,Heartsongs ,1994-09-01,20,1994
Hold Fast To The Right - Live,Heartsongs ,1994-09-01,9,1994
Walter Henry Hagan - Live,Heartsongs ,1994-09-01,9,1994
Barbara Allen - Live,Heartsongs ,1994-09-01,12,1994
Brave Little Soldier - Live,Heartsongs ,1994-09-01,7,1994
To Daddy - Live,Heartsongs ,1994-09-01,13,1994
True Blue - Live,Heartsongs ,1994-09-01,7,1994
Longer Than Always - Live,Heartsongs ,1994-09-01,11,1994
Wayfaring Stranger - Live,Heartsongs ,1994-09-01,16,1994
My Tennessee Mountain Home - Live,Heartsongs ,1994-09-01,12,1994
Heartsong (Reprise) - Live,Heartsongs ,1994-09-01,6,1994
Cas Walker Theme - Live,Heartsongs ,1994-09-01,5,1994
Black Draught Theme - Live,Heartsongs ,1994-09-01,5,1994
PMS Blues - Live,Heartsongs ,1994-09-01,14,1994
It Wasn't God Who Made Honky Tonk Angels,Honky Tonk Angels,1993-11-02,41,1993
Put It off Until Tomorrow,Honky Tonk Angels,1993-11-02,23,1993
Silver Threads and Golden Needles,Honky Tonk Angels,1993-11-02,43,1993
Please Help Me I'm Falling (In Love With You),Honky Tonk Angels,1993-11-02,31,1993
Sittin' on the Front Porch Swing,Honky Tonk Angels,1993-11-02,20,1993
Wings Of A Dove,Honky Tonk Angels,1993-11-02,32,1993
I Forgot More Than You'll Ever Know,Honky Tonk Angels,1993-11-02,21,1993
Wouldn't It Be Great,Honky Tonk Angels,1993-11-02,19,1993
That's the Way It Could Have Been,Honky Tonk Angels,1993-11-02,19,1993
Let Her Fly,Honky Tonk Angels,1993-11-02,30,1993
Lovesick Blues (with Patsy Cline),Honky Tonk Angels,1993-11-02,42,1993
I Dreamed Of A Hillbilly Heaven,Honky Tonk Angels,1993-11-02,24,1993
Full Circle,Slow Dancing With The Moon,1993-02-23,14,1993
"Romeo (with Billy Ray Cyrus, Tanya Tucker, Mary Chapin Carpenter, Kathy Mattea & Pam Tillis)",Slow Dancing With The Moon,1993-02-23,38,1993
(You Got Me Over) A Heartache Tonight (with Billy Dean),Slow Dancing With The Moon,1993-02-23,14,1993
What Will Baby Be,Slow Dancing With The Moon,1993-02-23,11,1993
More Where That Came From,Slow Dancing With The Moon,1993-02-23,23,1993
Put A Little Love In Your Heart,Slow Dancing With The Moon,1993-02-23,33,1993
Why Can't We,Slow Dancing With The Moon,1993-02-23,12,1993
I'll Make Your Bed,Slow Dancing With The Moon,1993-02-23,11,1993
Whenever Forever Comes (with Collin Raye),Slow Dancing With The Moon,1993-02-23,14,1993
Cross My Heart,Slow Dancing With The Moon,1993-02-23,11,1993
Slow Dancing With The Moon,Slow Dancing With The Moon,1993-02-23,22,1993
High And Mighty (with The Christ Church Choir),Slow Dancing With The Moon,1993-02-23,22,1993
Blue Grace,Straight Talk ,1900-01-01,6,1900
Light Of A Clear Blue Morning,Straight Talk ,1900-01-01,18,1900
Dirty Job,Straight Talk ,1900-01-01,9,1900
Blue Me,Straight Talk ,1900-01-01,6,1900
Straight Talk,Straight Talk ,1900-01-01,17,1900
Fish Out Of Water,Straight Talk ,1900-01-01,6,1900
Burning,Straight Talk ,1900-01-01,6,1900
Livin' A Lie,Straight Talk ,1900-01-01,10,1900
Thought I Couldn't Dance,Straight Talk ,1900-01-01,6,1900
Burning To Burned,Straight Talk ,1900-01-01,5,1900
Light Of A Clear Blue Morning (Reprise),Straight Talk ,1900-01-01,7,1900
If You Need Me,Eagle When She Flies,1991-03-07,17,1991
Rockin' Years (with Ricky Van Shelton),Eagle When She Flies,1991-03-07,46,1991
Country Road,Eagle When She Flies,1991-03-07,19,1991
Silver And Gold,Eagle When She Flies,1991-03-07,28,1991
Eagle When She Flies,Eagle When She Flies,1991-03-07,36,1991
Best Woman Wins,Eagle When She Flies,1991-03-07,16,1991
What A Heartache,Eagle When She Flies,1991-03-07,15,1991
Runaway Feelin',Eagle When She Flies,1991-03-07,13,1991
Dreams Do Come True,Eagle When She Flies,1991-03-07,13,1991
Family,Eagle When She Flies,1991-03-07,20,1991
Wildest Dreams,Eagle When She Flies,1991-03-07,16,1991
First Noël,Home For Christmas,1990-09-11,20,1990
Santa Claus Is Coming to Town,Home For Christmas,1990-09-11,23,1990
I'll Be Home for Christmas,Home For Christmas,1990-09-11,21,1990
Rudolph The Red-Nosed Reindeer,Home For Christmas,1990-09-11,17,1990
Go Tell It On the Mountain,Home For Christmas,1990-09-11,27,1990
The Little Drummer Boy,Home For Christmas,1990-09-11,18,1990
We Three Kings,Home For Christmas,1990-09-11,32,1990
Jingle Bells,Home For Christmas,1990-09-11,16,1990
O Little Town Of Bethlehem,Home For Christmas,1990-09-11,17,1990
Joy to the World,Home For Christmas,1990-09-11,21,1990
Time for Me to Fly,White Limozeen,1989-05-30,19,1989
Yellow Roses,White Limozeen,1989-05-30,31,1989
Why'd You Come in Here Lookin' Like That,White Limozeen,1989-05-30,56,1989
Slow Healing Heart,White Limozeen,1989-05-30,14,1989
What Is It My Love,White Limozeen,1989-05-30,12,1989
White Limozeen,White Limozeen,1989-05-30,19,1989
Wait 'Til I Get You Home (with Mac Davis),White Limozeen,1989-05-30,17,1989
Take Me Back to the Country,White Limozeen,1989-05-30,15,1989
"The Moon, the Stars and Me",White Limozeen,1989-05-30,21,1989
He's Alive,White Limozeen,1989-05-30,32,1989
The River Unbroken,Rainbow,1987-11-23,14,1987
I know You By Heart - Duet With Smokey Robinson,Rainbow,1987-11-23,12,1987
Dump The Dude,Rainbow,1987-11-23,16,1987
Red Hot Screaming Love,Rainbow,1987-11-23,10,1987
Make Love Work,Rainbow,1987-11-23,10,1987
Everyday Hero,Rainbow,1987-11-23,10,1987
Two Lovers,Rainbow,1987-11-23,12,1987
Could I Have Your Autograph,Rainbow,1987-11-23,11,1987
Savin' It For You,Rainbow,1987-11-23,10,1987
More Than I Can Say,Rainbow,1987-11-23,9,1987
The Pain of Loving You - 2015 Remaster,Trio ,1987-03-03,37,1987
Making Plans - 2015 Remaster,Trio ,1987-03-03,32,1987
To Know Him Is to Love Him - 2015 Remaster,Trio ,1987-03-03,49,1987
Hobo's Meditation - 2015 Remaster,Trio ,1987-03-03,28,1987
Wildflowers - 2015 Remaster,Trio ,1987-03-03,53,1987
Telling Me Lies (with Dolly Parton & Emmy Lou Harris) - 2015 Remaster,Trio ,1987-03-03,30,1987
My Dear Companion - 2015 Remaster,Trio ,1987-03-03,33,1987
Those Memories of You - 2015 Remaster,Trio ,1987-03-03,44,1987
I've Had Enough - 2015 Remaster,Trio ,1987-03-03,24,1987
Rosewood Casket - 2015 Remaster,Trio ,1987-03-03,26,1987
Farther Along - 2015 Remaster,Trio ,1987-03-03,32,1987
Think About Love,Real Love,1985-01-21,37,1985
Tie Our Love (In A Double Knot),Real Love,1985-01-21,20,1985
We Got Too Much,Real Love,1985-01-21,14,1985
It's Such A Heartache,Real Love,1985-01-21,16,1985
Don't Call It Love,Real Love,1985-01-21,19,1985
Real Love,Real Love,1985-01-21,49,1985
I Can't Be True,Real Love,1985-01-21,11,1985
Once In A Very Blue Moon,Real Love,1985-01-21,13,1985
Come Back To Me,Real Love,1985-01-21,13,1985
I Hope You're Never Happy,Real Love,1985-01-21,24,1985
I Believe In Santa Claus,Once Upon A Christmas,1984-10-29,34,1984
Winter Wonderland / Sleigh Ride,Once Upon A Christmas,1984-10-29,38,1984
With Bells On,Once Upon A Christmas,1984-10-29,33,1984
Christmas Without You,Once Upon A Christmas,1984-10-29,32,1984
White Christmas,Once Upon A Christmas,1984-10-29,27,1984
A Christmas to Remember,Once Upon A Christmas,1984-10-29,32,1984
Hard Candy Christmas,Once Upon A Christmas,1984-10-29,54,1984
The Greatest Gift of All,Once Upon A Christmas,1984-10-29,34,1984
Once Upon a Christmas,Once Upon A Christmas,1984-10-29,28,1984
Tennessee Homesick Blues,Rhinestone ,1984-05-01,21,1984
Too Much Water,Rhinestone ,1984-05-01,9,1984
The Day My Baby Died,Rhinestone ,1984-05-01,5,1984
One Emotion After Another,Rhinestone ,1984-05-01,9,1984
Goin' Back to Heaven,Rhinestone ,1984-05-01,9,1984
What a Heartache,Rhinestone ,1984-05-01,10,1984
Stay out of My Bedroom,Rhinestone ,1984-05-01,16,1984
Woke up in Love,Rhinestone ,1984-05-01,10,1984
God Won't Get You,Rhinestone ,1984-05-01,7,1984
Drinkin' Stein,Rhinestone ,1984-05-01,17,1984
Sweet Lovin' Friends,Rhinestone ,1984-05-01,12,1984
Waltz Me to Heaven,Rhinestone ,1984-05-01,5,1984
Butterflies,Rhinestone ,1984-05-01,11,1984
Be There,Rhinestone ,1984-05-01,11,1984
Save the Last Dance for Me (with The Jordanaires),The Great Pretender,1984-01-23,33,1984
I Walk the Line,The Great Pretender,1984-01-23,23,1984
"Turn, Turn, Turn (To Everything There Is a Season)",The Great Pretender,1984-01-23,14,1984
Downtown,The Great Pretender,1984-01-23,17,1984
We Had It All,The Great Pretender,1984-01-23,18,1984
She Don't Love You (Like I Love You),The Great Pretender,1984-01-23,15,1984
We'll Sing in the Sunshine,The Great Pretender,1984-01-23,15,1984
"I Can't Help Myself (Sugar Pie, Honey Bunch)",The Great Pretender,1984-01-23,16,1984
Elusive Butterfly,The Great Pretender,1984-01-23,13,1984
The Great Pretender,The Great Pretender,1984-01-23,26,1984
Ooo-eee,Burlap & Satin,1983-06-18,10,1983
Send Me The Pillow You Dream On,Burlap & Satin,1983-06-18,10,1983
Jealous Heart,Burlap & Satin,1983-06-18,10,1983
A Gamble Either Way,Burlap & Satin,1983-06-18,11,1983
Appalachian Memories,Burlap & Satin,1983-06-18,21,1983
I Really Don't Want to Know,Burlap & Satin,1983-06-18,13,1983
Potential New Boyfriend,Burlap & Satin,1983-06-18,26,1983
A Cowboy's Ways,Burlap & Satin,1983-06-18,9,1983
One Of Those Days,Burlap & Satin,1983-06-18,10,1983
Calm On The Water,Burlap & Satin,1983-06-18,12,1983
You're Gonna Love Yourself (In the Morning),The Winning Hand,1982-11-01,8,1982
Ping Pong,The Winning Hand,1982-11-01,7,1982
You'll Always Have Someone,The Winning Hand,1982-11-01,6,1982
Here Comes That Rainbow Again,The Winning Hand,1982-11-01,26,1982
"The Bigger the Fool, The Harder the Fall",The Winning Hand,1982-11-01,8,1982
Help Me Make It Through the Night,The Winning Hand,1982-11-01,17,1982
"Happy, Happy Birthday Baby",The Winning Hand,1982-11-01,14,1982
"You Left Me a Long, Long Time Ago",The Winning Hand,1982-11-01,8,1982
"To Make a Long Story Short, She's Gone",The Winning Hand,1982-11-01,16,1982
Someone Loves You Honey,The Winning Hand,1982-11-01,4,1982
Everything Is Beautiful (In It's Own Way),The Winning Hand,1982-11-01,12,1982
Bring On the Sunshine,The Winning Hand,1982-11-01,5,1982
Put It Off Until Tomorrow,The Winning Hand,1982-11-01,7,1982
I Never Cared for You,The Winning Hand,1982-11-01,6,1982
Casey's Last Ride,The Winning Hand,1982-11-01,30,1982
King of a Lonely Castle,The Winning Hand,1982-11-01,4,1982
The Little Things,The Winning Hand,1982-11-01,5,1982
The Bandits of Beverly Hills,The Winning Hand,1982-11-01,5,1982
What Do You Think About Lovin',The Winning Hand,1982-11-01,7,1982
Born to Love Me,The Winning Hand,1982-11-01,8,1982
Heartbreak Express,Heartbreak Express,1982-03-29,24,1982
Single Women,Heartbreak Express,1982-03-29,17,1982
My Blue Ridge Mountain Boy,Heartbreak Express,1982-03-29,13,1982
As Much As Always,Heartbreak Express,1982-03-29,11,1982
Do I Ever Cross Your Mind?,Heartbreak Express,1982-03-29,38,1982
Release Me,Heartbreak Express,1982-03-29,11,1982
Barbara on Your Mind,Heartbreak Express,1982-03-29,8,1982
Act Like a Fool,Heartbreak Express,1982-03-29,11,1982
Prime of Our Love,Heartbreak Express,1982-03-29,8,1982
Hollywood Potters,Heartbreak Express,1982-03-29,10,1982
Starting over Again,Dolly Dolly Dolly,1980-04-14,19,1980
Same Old Fool,Dolly Dolly Dolly,1980-04-14,13,1980
Old Flames Can't Hold a Candle to You,Dolly Dolly Dolly,1980-04-14,44,1980
You're The Only One I Ever Needed,Dolly Dolly Dolly,1980-04-14,12,1980
Say Goodnight,Dolly Dolly Dolly,1980-04-14,11,1980
Fool For Your Love,Dolly Dolly Dolly,1980-04-14,11,1980
Even A Fool Would Let Go,Dolly Dolly Dolly,1980-04-14,11,1980
Sweet Agony,Dolly Dolly Dolly,1980-04-14,13,1980
I Knew You When,Dolly Dolly Dolly,1980-04-14,7,1980
Packin' It Up,Dolly Dolly Dolly,1980-04-14,9,1980
9 to 5,9 To 5 And Odd Jobs,1900-01-01,77,1900
Hush-A-Bye Hard Times,9 To 5 And Odd Jobs,1900-01-01,30,1900
The House of the Rising Sun,9 To 5 And Odd Jobs,1900-01-01,39,1900
Deportee (Plane Wreck at Los Gatos),9 To 5 And Odd Jobs,1900-01-01,26,1900
Sing for the Common Man,9 To 5 And Odd Jobs,1900-01-01,26,1900
Working Girl,9 To 5 And Odd Jobs,1900-01-01,31,1900
Detroit City,9 To 5 And Odd Jobs,1900-01-01,26,1900
But You Know I Love You,9 To 5 And Odd Jobs,1900-01-01,34,1900
Dark as a Dungeon,9 To 5 And Odd Jobs,1900-01-01,24,1900
Poor Folks Town,9 To 5 And Odd Jobs,1900-01-01,27,1900
Star of the Show,Great Balls Of Fire,1979-05-28,16,1979
Down,Great Balls Of Fire,1979-05-28,12,1979
You're the Only One,Great Balls Of Fire,1979-05-28,30,1979
Help!,Great Balls Of Fire,1979-05-28,21,1979
Do You Think That Time Stands Still,Great Balls Of Fire,1979-05-28,12,1979
Sweet Summer Lovin',Great Balls Of Fire,1979-05-28,21,1979
Great Balls of Fire,Great Balls Of Fire,1979-05-28,27,1979
Almost In Love,Great Balls Of Fire,1979-05-28,11,1979
It's Not My Affair Anymore,Great Balls Of Fire,1979-05-28,12,1979
Sandy's Song,Great Balls Of Fire,1979-05-28,21,1979
I Really Got the Feeling,Heartbreaker,1900-01-01,26,1900
It's Too Late to Love Me Now,Heartbreaker,1900-01-01,30,1900
We're Through Forever ('Til Tomorrow),Heartbreaker,1900-01-01,15,1900
Sure Thing,Heartbreaker,1900-01-01,19,1900
With You Gone,Heartbreaker,1900-01-01,14,1900
Baby I'm Burnin',Heartbreaker,1900-01-01,46,1900
Nickels and Dimes,Heartbreaker,1900-01-01,22,1900
The Man,Heartbreaker,1900-01-01,15,1900
Heartbreaker,Heartbreaker,1900-01-01,37,1900
I Wanna Fall In Love,Heartbreaker,1900-01-01,16,1900
Here You Come Again,Here You Come Again,1977-10-03,63,1977
Baby Come Out Tonight,Here You Come Again,1977-10-03,22,1977
"It's All Wrong, but It's All Right",Here You Come Again,1977-10-03,33,1977
Me and Little Andy,Here You Come Again,1977-10-03,31,1977
Lovin' You,Here You Come Again,1977-10-03,26,1977
Cowgirl & The Dandy,Here You Come Again,1977-10-03,22,1977
Two Doors Down,Here You Come Again,1977-10-03,49,1977
God's Coloring Book,Here You Come Again,1977-10-03,24,1977
As Soon as I Touched Him,Here You Come Again,1977-10-03,18,1977
Sweet Music Man,Here You Come Again,1977-10-03,26,1977
Light of a Clear Blue Morning,New Harvest...First Gathering,1977-02-14,42,1977
Applejack,New Harvest...First Gathering,1977-02-14,42,1977
My Girl (My Love),New Harvest...First Gathering,1977-02-14,15,1977
Holdin' On to You,New Harvest...First Gathering,1977-02-14,22,1977
You Are,New Harvest...First Gathering,1977-02-14,41,1977
How Does It Feel,New Harvest...First Gathering,1977-02-14,15,1977
Where Beauty Lives In Memory,New Harvest...First Gathering,1977-02-14,18,1977
(Your Love has Lifted Me) Higher and Higher,New Harvest...First Gathering,1977-02-14,20,1977
Getting In My Way,New Harvest...First Gathering,1977-02-14,14,1977
There,New Harvest...First Gathering,1977-02-14,16,1977
All I Can Do,All I Can Do,1976-08-16,27,1976
The Fire That Keeps You Warm,All I Can Do,1976-08-16,22,1976
When the Sun Goes Down Tomorrow,All I Can Do,1976-08-16,15,1976
I'm a Drifter,All I Can Do,1976-08-16,13,1976
Falling Out of Love with Me,All I Can Do,1976-08-16,13,1976
Shattered Image,All I Can Do,1976-08-16,23,1976
Boulder to Birmingham,All I Can Do,1976-08-16,14,1976
Preacher Tom,All I Can Do,1976-08-16,14,1976
Life's Like Poetry,All I Can Do,1976-08-16,11,1976
"Hey, Lucky Lady",All I Can Do,1976-08-16,12,1976
We Used To,Dolly: The Seeker - We Used To,1975-09-15,21,1975
The Love I Used to Call Mine,Dolly: The Seeker - We Used To,1975-09-15,8,1975
My Heart Started Breaking,Dolly: The Seeker - We Used To,1975-09-15,7,1975
Most of All Why,Dolly: The Seeker - We Used To,1975-09-15,6,1975
Bobby's Arms,Dolly: The Seeker - We Used To,1975-09-15,13,1975
The Seeker,Dolly: The Seeker - We Used To,1975-09-15,20,1975
Hold Me,Dolly: The Seeker - We Used To,1975-09-15,12,1975
Because I Love You,Dolly: The Seeker - We Used To,1975-09-15,7,1975
Only the Memory Remains,Dolly: The Seeker - We Used To,1975-09-15,6,1975
I'll Remember You as Mine,Dolly: The Seeker - We Used To,1975-09-15,7,1975
